epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.26426,1.71241,2.92509,1.72085,0.02467,0.69811,0.10767,0.03049,2.00609,2.81912,1.84241,0.0005,0.0005,0.0005
2,5.15971,1.72596,2.83802,1.73297,0.02467,0.69811,0.10767,0.03049,2.00609,2.81912,1.84241,0.00114357,0.00114357,0.00114357
3,6.68332,1.76872,2.94109,1.73342,0.02467,0.69811,0.10767,0.03049,2.00609,2.81912,1.84241,0.00176073,0.00176073,0.00176073
4,8.20967,1.76736,2.95856,1.75533,0.032,0.90566,0.15458,0.06109,2.05447,2.58907,1.97988,0.0018812,0.0018812,0.0018812
5,9.69978,1.66297,2.55436,1.51116,0.032,0.90566,0.15458,0.06109,2.05447,2.58907,1.97988,0.0018416,0.0018416,0.0018416
6,11.1882,1.7663,2.46826,1.58717,0.032,0.90566,0.15458,0.06109,2.05447,2.58907,1.97988,0.001802,0.001802,0.001802
7,12.6948,1.6956,2.4172,1.54498,0.032,0.90566,0.15458,0.06109,2.05447,2.58907,1.97988,0.0017624,0.0017624,0.0017624
8,14.1975,2.00219,2.52344,1.74729,0.34814,0.28302,0.23065,0.07139,2.52288,2.44284,2.60157,0.0017228,0.0017228,0.0017228
9,15.7005,2.35622,2.48907,2.14481,0.34814,0.28302,0.23065,0.07139,2.52288,2.44284,2.60157,0.0016832,0.0016832,0.0016832
10,17.1891,2.18931,2.35296,1.90935,0.34814,0.28302,0.23065,0.07139,2.52288,2.44284,2.60157,0.0016436,0.0016436,0.0016436
11,18.7274,2.04511,2.22533,1.83336,0.34814,0.28302,0.23065,0.07139,2.52288,2.44284,2.60157,0.001604,0.001604,0.001604
12,20.2527,1.67353,2.15108,1.62366,0.30169,0.24528,0.18677,0.06416,1.64297,4.16175,1.85538,0.0015644,0.0015644,0.0015644
13,21.6786,1.50606,2.60342,1.57643,0.30169,0.24528,0.18677,0.06416,1.64297,4.16175,1.85538,0.0015248,0.0015248,0.0015248
14,23.1025,1.40931,1.97604,1.43438,0.30169,0.24528,0.18677,0.06416,1.64297,4.16175,1.85538,0.0014852,0.0014852,0.0014852
15,24.7117,1.40295,2.10768,1.44354,0.30169,0.24528,0.18677,0.06416,1.64297,4.16175,1.85538,0.0014456,0.0014456,0.0014456
16,26.1412,1.21643,1.7541,1.31924,0.25222,0.28642,0.23755,0.117,1.3903,2.40988,1.61074,0.001406,0.001406,0.001406
17,27.6534,1.29279,1.73591,1.39042,0.25222,0.28642,0.23755,0.117,1.3903,2.40988,1.61074,0.0013664,0.0013664,0.0013664
18,29.1209,1.22202,1.65627,1.32161,0.25222,0.28642,0.23755,0.117,1.3903,2.40988,1.61074,0.0013268,0.0013268,0.0013268
19,30.6623,1.29958,1.95243,1.45465,0.47157,0.28302,0.34997,0.15592,1.50817,2.24483,1.87302,0.0012872,0.0012872,0.0012872
