epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.17923,1.74475,2.77512,1.88709,0.02333,1,0.2557,0.11621,1.45105,2.53575,1.60714,0,0,0
2,3.13031,1.56236,2.91339,1.73296,0.02333,1,0.2557,0.11621,1.45105,2.53575,1.60714,0.000653467,0.000653467,0.000653467
3,4.12527,1.89888,2.91644,1.99221,0.02333,1,0.2557,0.11621,1.45105,2.53575,1.60714,0.00128053,0.00128053,0.00128053
4,5.06902,1.19993,2.60946,1.56286,0.02333,1,0.2557,0.11621,1.45105,2.53575,1.60714,0.0018812,0.0018812,0.0018812
5,6.08554,2.10444,2.79902,2.09247,0.02333,1,0.2557,0.11621,1.45105,2.53575,1.60714,0.0018416,0.0018416,0.0018416
6,7.02488,1.66274,3.0605,1.79822,0.02333,1,0.2557,0.11621,1.45105,2.53575,1.60714,0.001802,0.001802,0.001802
7,8.06595,1.83148,3.08138,1.78143,0.02333,1,0.2557,0.11621,1.45105,2.53575,1.60714,0.0017624,0.0017624,0.0017624
8,9.03241,1.71012,3.08746,1.82622,0.02333,1,0.2557,0.11621,1.45105,2.53575,1.60714,0.0017228,0.0017228,0.0017228
9,10.0761,1.69255,3.04485,1.7665,0.02333,1,0.2557,0.11621,1.45105,2.53575,1.60714,0.0016832,0.0016832,0.0016832
10,10.9778,1.32597,2.56794,1.48797,0.02333,1,0.2557,0.11621,1.45105,2.53575,1.60714,0.0016436,0.0016436,0.0016436
11,11.8832,0.89896,2.4194,1.31797,0.02333,1,0.2557,0.11621,1.45105,2.53575,1.60714,0.001604,0.001604,0.001604
12,12.9384,1.49064,2.7823,1.77843,0.02333,1,0.91038,0.26571,1.3067,2.41693,1.35684,0.0015644,0.0015644,0.0015644
13,13.801,1.44662,2.89904,1.60011,0.02333,1,0.91038,0.26571,1.3067,2.41693,1.35684,0.0015248,0.0015248,0.0015248
14,14.6886,1.12447,1.96011,1.29954,0.02333,1,0.91038,0.26571,1.3067,2.41693,1.35684,0.0014852,0.0014852,0.0014852
15,15.6726,1.08109,2.16208,1.20155,0.02333,1,0.91038,0.26571,1.3067,2.41693,1.35684,0.0014456,0.0014456,0.0014456
16,16.5548,1.15208,2.1435,1.36493,0.02333,1,0.91038,0.26571,1.3067,2.41693,1.35684,0.001406,0.001406,0.001406
17,17.4552,1.2541,2.37062,1.40193,0.02333,1,0.91038,0.26571,1.3067,2.41693,1.35684,0.0013664,0.0013664,0.0013664
18,18.3638,1.62365,2.70885,1.75084,0.02333,1,0.91038,0.26571,1.3067,2.41693,1.35684,0.0013268,0.0013268,0.0013268
19,19.3638,1.25315,2.42113,1.30315,0.02333,1,0.91038,0.26571,1.3067,2.41693,1.35684,0.0012872,0.0012872,0.0012872
20,20.2826,1.0167,2.34364,1.41808,0.02333,1,0.91038,0.26571,1.3067,2.41693,1.35684,0.0012476,0.0012476,0.0012476
21,21.2787,1.11592,2.71967,1.31831,0.02333,1,0.91038,0.26571,1.3067,2.41693,1.35684,0.001208,0.001208,0.001208
22,22.2717,1.12792,2.61584,1.33606,0.02333,1,0.91038,0.26571,1.3067,2.41693,1.35684,0.0011684,0.0011684,0.0011684
23,23.2619,1.13893,2.01633,1.30609,0.02333,1,0.72153,0.29844,1.07958,2.40282,1.19061,0.0011288,0.0011288,0.0011288
24,24.1903,1.05331,1.76692,1.14434,0.02333,1,0.72153,0.29844,1.07958,2.40282,1.19061,0.0010892,0.0010892,0.0010892
25,25.112,1.4264,2.1277,1.62874,0.02333,1,0.72153,0.29844,1.07958,2.40282,1.19061,0.0010496,0.0010496,0.0010496
26,26.1302,1.00658,2.52741,1.24843,0.02333,1,0.72153,0.29844,1.07958,2.40282,1.19061,0.00101,0.00101,0.00101
27,27.0196,1.06535,1.94556,1.40274,0.02333,1,0.72153,0.29844,1.07958,2.40282,1.19061,0.0009704,0.0009704,0.0009704
28,27.9138,1.17995,1.91583,1.29045,0.02333,1,0.72153,0.29844,1.07958,2.40282,1.19061,0.0009308,0.0009308,0.0009308
29,28.9295,1.29829,1.73874,1.21773,0.02333,1,0.72153,0.29844,1.07958,2.40282,1.19061,0.0008912,0.0008912,0.0008912
30,29.877,1.18938,2.10671,1.60806,0.02333,1,0.72153,0.29844,1.07958,2.40282,1.19061,0.0008516,0.0008516,0.0008516
31,30.7724,1.01567,1.74983,1.12861,0.02333,1,0.72153,0.29844,1.07958,2.40282,1.19061,0.000812,0.000812,0.000812
32,31.7969,1.02127,1.82983,1.20078,0.02333,1,0.72153,0.29844,1.07958,2.40282,1.19061,0.0007724,0.0007724,0.0007724
33,32.7047,1.39299,2.22475,1.4172,0.02333,1,0.72153,0.29844,1.07958,2.40282,1.19061,0.0007328,0.0007328,0.0007328
34,33.7171,1.17152,2.07441,1.28191,0.02333,1,0.8375,0.54029,0.76218,2.25976,1.0811,0.0006932,0.0006932,0.0006932
35,34.6142,1.22769,2.15708,1.60785,0.02333,1,0.8375,0.54029,0.76218,2.25976,1.0811,0.0006536,0.0006536,0.0006536
36,35.5122,0.81912,1.48862,1.27635,0.02333,1,0.8375,0.54029,0.76218,2.25976,1.0811,0.000614,0.000614,0.000614
37,36.4201,1.0881,1.81839,1.23726,0.02333,1,0.8375,0.54029,0.76218,2.25976,1.0811,0.0005744,0.0005744,0.0005744
38,37.4086,0.8635,1.48237,1.13792,0.02333,1,0.8375,0.54029,0.76218,2.25976,1.0811,0.0005348,0.0005348,0.0005348
39,38.4211,0.80081,1.43701,1.1748,0.02333,1,0.8375,0.54029,0.76218,2.25976,1.0811,0.0004952,0.0004952,0.0004952
40,39.3294,0.89604,1.53163,1.21442,0.02333,1,0.8375,0.54029,0.76218,2.25976,1.0811,0.0004556,0.0004556,0.0004556
41,40.4539,0.74415,1.69112,1.13737,0.02333,1,0.8375,0.54029,0.76218,2.25976,1.0811,0.000416,0.000416,0.000416
42,41.3634,0.63494,1.48224,1.09901,0.02333,1,0.8375,0.54029,0.76218,2.25976,1.0811,0.0003764,0.0003764,0.0003764
43,42.37,0.86685,1.82824,1.14579,0.02333,1,0.8375,0.54029,0.76218,2.25976,1.0811,0.0003368,0.0003368,0.0003368
44,43.33,0.90645,2.2684,1.26767,0.02333,1,0.8375,0.54029,0.76218,2.25976,1.0811,0.0002972,0.0002972,0.0002972
45,44.3363,0.73586,1.28282,0.91159,0.15943,1,0.953,0.71457,0.68159,2.11807,1.04158,0.0002576,0.0002576,0.0002576
46,45.2113,0.52781,1.42218,1.00447,0.15943,1,0.953,0.71457,0.68159,2.11807,1.04158,0.000218,0.000218,0.000218
47,46.1138,0.91285,1.40593,1.11172,0.15943,1,0.953,0.71457,0.68159,2.11807,1.04158,0.0001784,0.0001784,0.0001784
48,47.0577,0.80139,1.26453,1.11912,0.15943,1,0.953,0.71457,0.68159,2.11807,1.04158,0.0001388,0.0001388,0.0001388
49,47.949,1.04285,1.57303,1.08587,0.15943,1,0.953,0.71457,0.68159,2.11807,1.04158,9.92e-05,9.92e-05,9.92e-05
50,48.8105,0.96382,1.37238,0.98045,0.15943,1,0.953,0.71457,0.68159,2.11807,1.04158,5.96e-05,5.96e-05,5.96e-05
